the	27825
and	26791
i	20681
to	19261
of	18289
a	14667
you	13716
my	12481
that	11135
in	11027
is	9621
not	8745
for	8261
with	8046
me	7769
it	7703
be	7106
this	6894
your	6889
his	6857
but	6275
he	6253
as	5970
have	5888
thou	5485
so	5268
him	5192
will	4983
what	4466
by	4426
thy	4032
all	3904
are	3874
her	3843
no	3807
do	3767
shall	3593
if	3521
we	3305
or	3195
